Name,V1,V2,E1,E2,EAlphaHat,D1,D2,AddedNodes,EdgesPerAddedNode,AddedEdges,RemovedEdges,Accuracy,NodeCorrectness,Time,Generated,Alignment,Corrects,Mistakes,FP,FN,FBetaStar,NodeCorrectness,Time,Generated,Alignment,Corrects,Mistakes,FP,FN,SameAlignment?,DeltaGenerated,DeltaTime,%generated,%time
ER-12-10-1595193788194,12,14,10,16,12.0,0.15151515151515152,0.17582417582417584,2,2,3,1,0.9696969696969697,0.16666666666666666,2140,8161105,7 5 8 11 2 14 6 1 9 4 10 12 ,64.0,2.0,1.0,1.0,0.9166666666666666,0.3333333333333333,2435,9139366,1 5 6 11 2 3 8 7 9 10 4 12 ,64.0,2.0,0.0,2.0,False,-978261,-295,-11,-13
ER-12-10-1595193788194,12,14,10,16,12.0,0.15151515151515152,0.17582417582417584,2,2,4,2,0.9848484848484849,0.08333333333333333,1335,5149101,1 9 6 3 14 11 5 13 7 2 12 4 ,65.0,1.0,0.0,1.0,0.9565217391304348,0.08333333333333333,1554,6204620,1 9 6 3 14 11 5 13 7 2 12 4 ,65.0,1.0,0.0,1.0,True,-1055519,-219,-20,-16
ER-12-10-1595193788194,12,14,10,16,12.0,0.15151515151515152,0.17582417582417584,2,2,5,3,0.9545454545454546,0.16666666666666666,1788,7412647,5 8 1 11 13 2 6 7 9 10 4 14 ,63.0,3.0,1.0,2.0,0.8608695652173912,0.16666666666666666,1625,6838188,5 8 1 11 13 2 6 7 9 10 4 14 ,63.0,3.0,1.0,2.0,True,574459,163,7,9
ER-12-11-1595193788195,12,14,11,17,13.0,0.16666666666666666,0.18681318681318682,2,2,3,1,0.9848484848484849,0.16666666666666666,6429,27614212,1 7 3 8 14 12 2 4 13 11 10 6 ,65.0,1.0,0.0,1.0,0.96,0.16666666666666666,7108,29765381,1 7 3 8 14 12 2 4 13 11 10 6 ,65.0,1.0,0.0,1.0,True,-2151169,-679,-7,-10
ER-12-11-1595193788195,12,14,11,17,13.0,0.16666666666666666,0.18681318681318682,2,2,4,2,0.9545454545454546,0.25,18202,77379152,12 2 1 5 3 6 10 13 8 14 11 7 ,63.0,3.0,2.0,1.0,0.8727272727272727,0.25,20778,86927982,12 2 1 5 3 6 14 13 4 7 11 10 ,63.0,3.0,1.0,2.0,False,-9548830,-2576,-12,-14
ER-12-11-1595193788195,12,14,11,17,13.0,0.16666666666666666,0.18681318681318682,2,2,5,3,0.9545454545454546,0.3333333333333333,18943,81962200,5 2 13 4 14 6 12 3 1 7 11 10 ,63.0,3.0,2.0,1.0,0.8727272727272727,0.25,17633,77313545,7 2 1 8 14 6 12 3 5 13 11 9 ,63.0,3.0,1.0,2.0,False,4648655,1310,5,6
ER-12-12-1595193788196,12,14,12,18,14.0,0.18181818181818182,0.1978021978021978,2,2,3,1,0.9696969696969697,0.3333333333333333,1198,4673003,1 14 2 7 5 8 4 6 13 10 9 12 ,64.0,2.0,1.0,1.0,0.9166666666666666,0.3333333333333333,1790,7118616,1 14 2 7 5 8 4 6 13 10 9 12 ,64.0,2.0,1.0,1.0,True,-2445613,-592,-52,-49
ER-12-12-1595193788196,12,14,12,18,14.0,0.18181818181818182,0.1978021978021978,2,2,4,2,0.9545454545454546,0.5833333333333334,2932,12145078,5 3 11 4 1 6 7 8 9 10 13 12 ,63.0,3.0,0.0,3.0,0.896551724137931,0.5833333333333334,3901,16150744,5 3 11 4 1 6 7 8 9 10 13 12 ,63.0,3.0,0.0,3.0,True,-4005666,-969,-32,-33
ER-12-12-1595193788196,12,14,12,18,14.0,0.18181818181818182,0.1978021978021978,2,2,5,3,0.9696969696969697,0.0,647,2604823,2 3 11 14 13 10 8 6 1 4 12 9 ,64.0,2.0,1.0,1.0,0.9285714285714285,0.3333333333333333,830,3356777,5 8 14 11 1 6 3 2 9 10 7 12 ,64.0,2.0,0.0,2.0,False,-751954,-183,-28,-28
ER-12-13-1595193788196,12,14,13,19,15.0,0.19696969696969696,0.2087912087912088,2,2,3,1,0.9545454545454546,0.16666666666666666,6607,28274695,7 6 4 3 5 2 12 1 9 8 13 11 ,63.0,3.0,2.0,1.0,0.8774928774928775,0.16666666666666666,7153,30563499,7 6 4 3 5 2 12 1 9 8 13 11 ,63.0,3.0,2.0,1.0,True,-2288804,-546,-8,-8
ER-12-13-1595193788196,12,14,13,19,15.0,0.19696969696969696,0.2087912087912088,2,2,4,2,0.9393939393939394,0.08333333333333333,5469,22962476,4 12 10 6 8 2 7 9 1 3 13 14 ,62.0,4.0,2.0,2.0,0.8615384615384615,0.08333333333333333,6332,26564272,2 12 10 6 4 11 7 9 1 3 13 14 ,62.0,4.0,1.0,3.0,False,-3601796,-863,-15,-15
ER-12-13-1595193788196,12,14,13,19,15.0,0.19696969696969696,0.2087912087912088,2,2,5,3,0.9696969696969697,0.8333333333333334,4386,17941046,1 2 3 4 5 13 14 8 9 10 11 12 ,64.0,2.0,2.0,0.0,0.923076923076923,0.25,4883,20320647,1 8 10 7 12 4 14 5 9 3 11 2 ,64.0,2.0,1.0,1.0,False,-2379601,-497,-13,-11
ER-12-14-1595193788197,12,14,14,20,16.0,0.21212121212121213,0.21978021978021978,2,2,3,1,0.9696969696969697,0.08333333333333333,1692,7257067,13 7 14 4 11 8 6 9 1 12 10 5 ,64.0,2.0,2.0,0.0,0.9183673469387755,0.08333333333333333,2107,9072430,13 7 14 4 11 8 6 9 1 12 10 5 ,64.0,2.0,2.0,0.0,True,-1815363,-415,-25,-24
ER-12-14-1595193788197,12,14,14,20,16.0,0.21212121212121213,0.21978021978021978,2,2,4,2,0.9393939393939394,0.08333333333333333,3959,16668281,4 2 11 7 12 5 3 13 8 14 9 1 ,62.0,4.0,2.0,2.0,0.8571428571428571,0.08333333333333333,4980,20856229,4 2 11 7 12 5 3 13 8 14 9 1 ,62.0,4.0,2.0,2.0,True,-4187948,-1021,-25,-25
ER-12-14-1595193788197,12,14,14,20,16.0,0.21212121212121213,0.21978021978021978,2,2,5,3,0.9545454545454546,0.4166666666666667,2604,10962464,1 2 3 8 10 13 6 4 9 12 11 14 ,63.0,3.0,2.0,1.0,0.8986175115207373,0.16666666666666666,2897,11931984,9 7 1 8 11 6 2 14 4 3 10 12 ,63.0,3.0,1.0,2.0,False,-969520,-293,-8,-11
ER-12-15-1595193788198,12,14,15,21,17.0,0.22727272727272727,0.23076923076923078,2,2,3,1,0.9393939393939394,1.0,2506,9781765,1 2 3 4 5 6 7 8 9 10 11 12 ,62.0,4.0,1.0,3.0,0.8784313725490196,1.0,2394,9996295,1 2 3 4 5 6 7 8 9 10 11 12 ,62.0,4.0,1.0,3.0,True,-214530,112,-2,4
ER-12-15-1595193788198,12,14,15,21,17.0,0.22727272727272727,0.23076923076923078,2,2,4,2,0.9393939393939394,0.25,3228,13790393,1 14 3 6 11 13 7 10 4 2 5 9 ,62.0,4.0,2.0,2.0,0.8666666666666666,0.25,3705,15813956,1 14 3 6 11 13 7 10 4 2 5 9 ,62.0,4.0,2.0,2.0,True,-2023563,-477,-14,-14
ER-12-15-1595193788198,12,14,15,21,17.0,0.22727272727272727,0.23076923076923078,2,2,5,3,0.9242424242424242,0.08333333333333333,5129,22233929,1 5 12 7 10 14 4 6 11 13 9 3 ,61.0,5.0,1.0,4.0,0.8533333333333333,0.08333333333333333,3945,17114499,1 5 12 7 10 14 4 6 11 13 9 3 ,61.0,5.0,1.0,4.0,True,5119430,1184,23,23
ER-12-16-1595193788198,12,14,16,22,18.0,0.24242424242424243,0.24175824175824176,2,2,3,1,0.9393939393939394,1.0,11374,45928197,1 2 3 4 5 6 7 8 9 10 11 12 ,62.0,4.0,1.0,3.0,0.8854166666666666,1.0,14413,56998218,1 2 3 4 5 6 7 8 9 10 11 12 ,62.0,4.0,1.0,3.0,True,-11070021,-3039,-24,-26
ER-12-16-1595193788198,12,14,16,22,18.0,0.24242424242424243,0.24175824175824176,2,2,4,2,0.9393939393939394,0.16666666666666666,14732,64854340,1 5 3 10 2 8 11 4 12 13 7 6 ,62.0,4.0,2.0,2.0,0.8854166666666666,0.0,18974,82903104,11 12 7 5 4 8 3 6 10 9 1 2 ,62.0,4.0,1.0,3.0,False,-18048764,-4242,-27,-28
ER-12-16-1595193788198,12,14,16,22,18.0,0.24242424242424243,0.24175824175824176,2,2,5,3,0.9393939393939394,0.0,8377,36197448,8 11 13 10 9 12 1 2 5 3 14 6 ,62.0,4.0,3.0,1.0,0.86328125,0.0,14599,62894715,8 11 13 10 9 12 1 2 5 3 14 6 ,62.0,4.0,3.0,1.0,True,-26697267,-6222,-73,-74
ER-12-17-1595193788199,12,14,17,23,19.0,0.25757575757575757,0.25274725274725274,2,2,3,1,0.9696969696969697,0.5833333333333334,27157,115759943,1 2 3 5 4 6 14 8 7 10 13 12 ,64.0,2.0,1.0,1.0,0.9411764705882352,0.5833333333333334,48818,201761742,1 2 3 5 4 6 14 8 7 10 13 12 ,64.0,2.0,1.0,1.0,True,-86001799,-21661,-74,-79
