Name,V1,V2,E1,E2,EAlphaHat,D1,D2,AddedNodes,EdgesPerAddedNode,AddedEdges,RemovedEdges,WAcc,NodeCorrectness,Time,Generated,Alignment,Corrects,Mistakes,FP,FN,FBetaHash,NodeCorrectness,Time,Generated,Alignment,Corrects,Mistakes,FP,FN,SameAlignment?,DeltaGenerated,DeltaTime,%generated,%time
ER-12-10-1595193788194,12,14,10,16,12.0,0.15151515151515152,0.17582417582417584,2,2,3,1,0.9821428571428572,0.3333333333333333,2839,11591122,1 5 6 11 2 3 8 7 9 10 4 12 ,64.0,2.0,0.0,2.0,0.9842752765183239,0.3333333333333333,2941,11651386,1 5 6 11 2 3 8 7 9 10 4 12 ,64.0,2.0,0.0,2.0,True,-60264,-102,0,-3
ER-12-10-1595193788194,12,14,10,16,12.0,0.15151515151515152,0.17582417582417584,2,2,4,2,0.9910714285714286,0.08333333333333333,1031,4256601,1 9 6 3 14 11 5 13 7 2 12 4 ,65.0,1.0,0.0,1.0,0.9920753316499173,0.08333333333333333,1056,4276528,1 9 6 3 14 11 5 13 7 2 12 4 ,65.0,1.0,0.0,1.0,True,-19927,-25,0,-2
ER-12-10-1595193788194,12,14,10,16,12.0,0.15151515151515152,0.17582417582417584,2,2,5,3,0.9321428571428572,0.16666666666666666,1261,5478824,5 8 1 11 13 2 6 7 9 10 4 14 ,63.0,3.0,1.0,2.0,0.8928677984849257,0.16666666666666666,1308,5478824,5 8 1 11 13 2 6 7 9 10 4 14 ,63.0,3.0,1.0,2.0,True,0,-47,0,-3
ER-12-11-1595193788195,12,14,11,17,13.0,0.16666666666666666,0.18681318681318682,2,2,3,1,0.990909090909091,0.16666666666666666,4047,17366805,1 7 3 8 14 12 2 4 13 11 10 6 ,65.0,1.0,0.0,1.0,0.9925496688741722,0.16666666666666666,4202,17254813,1 7 3 8 14 12 2 4 13 11 10 6 ,65.0,1.0,0.0,1.0,True,111992,-155,0,-3
ER-12-11-1595193788195,12,14,11,17,13.0,0.16666666666666666,0.18681318681318682,2,2,4,2,0.9363636363636363,0.25,14819,61737009,12 2 1 5 3 6 14 13 4 7 11 10 ,63.0,3.0,1.0,2.0,0.902317880794702,0.25,15402,61453231,12 2 1 5 3 6 14 13 4 7 11 10 ,63.0,3.0,1.0,2.0,True,283778,-583,0,-3
ER-12-11-1595193788195,12,14,11,17,13.0,0.16666666666666666,0.18681318681318682,2,2,5,3,0.9363636363636363,0.25,15286,66889699,7 2 1 8 14 6 12 3 5 13 11 9 ,63.0,3.0,1.0,2.0,0.902317880794702,0.25,15824,66896751,7 2 1 8 14 6 12 3 5 13 11 9 ,63.0,3.0,1.0,2.0,True,-7052,-538,0,-3
ER-12-12-1595193788196,12,14,12,18,14.0,0.18181818181818182,0.1978021978021978,2,2,3,1,0.9722222222222222,0.16666666666666666,1820,7445466,10 14 2 7 5 8 4 6 11 1 9 12 ,63.0,3.0,0.0,3.0,0.9790982898600794,0.16666666666666666,1853,7553008,10 14 2 7 5 8 4 6 11 1 9 12 ,63.0,3.0,0.0,3.0,True,-107542,-33,-1,-1
ER-12-12-1595193788196,12,14,12,18,14.0,0.18181818181818182,0.1978021978021978,2,2,4,2,0.9722222222222222,0.5833333333333334,4729,20184559,5 3 11 4 1 6 7 8 9 10 13 12 ,63.0,3.0,0.0,3.0,0.9790982898600794,0.5833333333333334,5018,20780243,5 3 11 4 1 6 7 8 9 10 13 12 ,63.0,3.0,0.0,3.0,True,-595684,-289,-2,-6
ER-12-12-1595193788196,12,14,12,18,14.0,0.18181818181818182,0.1978021978021978,2,2,5,3,0.9814814814814814,0.3333333333333333,769,3160772,5 8 14 11 1 6 3 2 9 10 7 12 ,64.0,2.0,0.0,2.0,0.9859677606401485,0.3333333333333333,799,3177933,5 8 14 11 1 6 3 2 9 10 7 12 ,64.0,2.0,0.0,2.0,True,-17161,-30,0,-3
ER-12-13-1595193788196,12,14,13,19,15.0,0.19696969696969696,0.2087912087912088,2,2,3,1,0.9332365747460087,0.5,6015,26336259,1 4 3 2 12 8 7 6 9 10 11 5 ,62.0,4.0,1.0,3.0,0.9106974624852989,0.5,6251,26558953,1 4 3 2 12 8 7 6 9 10 11 5 ,62.0,4.0,1.0,3.0,True,-222694,-236,0,-3
